row_id,cv_id,job_index,organization,position,startDate,endDate,status,department,seniority
27,4,3,The DocuCollege Ltd.,Chief Operating Officer,2003-01,2003-12,INACTIVE,,
28,4,4,The DocuCollege Ltd.,Marketing Manager,2001-03,2002-12,INACTIVE,,
29,4,5,20 Minuten,Business Development Manager,2000-11,2001-01,INACTIVE,,
30,4,6,Xerox,Business-Manager,1998-03,2000-10,INACTIVE,,
31,4,7,AXEED Informatik AG,Marketing Manager,1995-11,1998-02,INACTIVE,,
32,5,0,Monash University,Professor,2022-07,,ACTIVE,,
33,5,1,Monash University,"Deputy Dean, Faculty of IT",2022-07,,ACTIVE,,
34,5,2,Monash University,Head of Department Software Systems and Cybersecurity,2020-01,2022-06,INACTIVE,,
35,5,3,Monash University,Associate Professor,2015-09,2022-06,INACTIVE,,
36,5,4,Oceania Cyber Security Centre #OCSC,Research Director,2020-01,,ACTIVE,,
37,5,5,Oceania Cyber Security Centre #OCSC,Director,2016-10,2019-12,INACTIVE,,
38,5,6,Huawei Technologies,"Leader of Trusted Computing Research, European Research Centre",2015-04,2015-08,INACTIVE,,
39,5,7,Fraunhofer Institute for Secure Information Technology SIT,Head of Research Department Trust and Compliance,2005,2015-03,INACTIVE,,
40,5,8,Fraunhofer Institute for Secure Information Technology SIT,Post-Doc Full-time Researcher,2001,2004,INACTIVE,,
41,5,9,GMD Institute for Telecooperation Technology,Postgraduate Research Assistant,1997,2001,INACTIVE,,
42,6,0,Faurecia Innenraum Systeme GmbH,Program Purchasing Leader / Program / Acquisition Buyer,2004-05,,ACTIVE,,
43,6,1,Siemens VDO Automotive AG,Advanced Purchasing Engineer,2000-12,2004-04,INACTIVE,,
44,6,2,SAI Automotive SAL GmbH,Projekteinkäufer Türmodule,1999-07,2000-11,INACTIVE,,
45,6,3,YMOS AG / Magna Exterior Systems GmbH,Fachspezialist Einkauf,1995-07,1999-06,INACTIVE,,
46,7,0,Poder judiciário de Santa Catarina,Juiz de Direito,,,UNKNOWN,,
47,8,0,ALSO Deutschland GmbH,Business Analyst,1992-06,,ACTIVE,,
48,9,0,DU MUSST KÄMPFEN gGmbH,Geschäftsführer,,,UNKNOWN,,
49,10,0,Brandtner IT,Managementberater IT- und Governance,2024-03,,ACTIVE,,
50,10,1,NOVENTI Health SE,CIO,2019,2024-03,INACTIVE,,
51,10,2,VSA GmbH,Geschäftsführer,2015-12,2018-04,INACTIVE,,
52,10,3,VSA GmbH,IT-Bereichsleiter,2008-07,2015-11,INACTIVE,,
53,10,4,VSA GmbH,Fachbereichsleiter IT-Services,2006-01,2008-06,INACTIVE,,
54,10,5,VSA GmbH,Abteilungsleiter IT-Produktion und Systemtechnik,1999-07,2005-12,INACTIVE,,
55,10,6,Phadiso GmbH,Geschäftsführer,2011-08,2013-08,INACTIVE,,
56,10,7,Verband der Angestellten- Krankenkassen,"Projektleiter, Teamleiter",1993-06,1999-06,INACTIVE,,
57,10,8,Escom Computervertriebs GmbH,"PC-Support und Installation, Verkauf",1988-06,1993-06,INACTIVE,,
58,10,9,Universität Koblenz-Landau,Informatik Studium,1988-06,1993-06,INACTIVE,,
59,11,0,DGC FILM WORKS,Founder & CEO,2020-06,,ACTIVE,,
60,11,1,DGC FILM WORKS,Senior Video Editor,2016-01,,ACTIVE,,
61,11,2,DGC FILM WORKS,Senior Video Editor,2014-06,,ACTIVE,,
62,11,3,Mumbai,DI Colorist,2018-01,2018-03,INACTIVE,,
63,12,0,auris Steuerberatung OG,Geschäftsführer,2019-10,,ACTIVE,,
64,12,1,TPA Steuerberatung GmbH,Director,2007-10,2019-05,INACTIVE,,
65,13,0,20th Century Fox,Senior Publicist,,,UNKNOWN,,
66,14,0,Daimler AG,Manager,1997-11,,ACTIVE,,
67,14,1,Deutsche Bausparkasse Badenia AG,Freier Agent / Handelsvertreter,1990,2009,INACTIVE,,
68,14,2,AXA,Freier Agent / Handelsvertreter,1986,2009,INACTIVE,,
69,14,3,BMW Group,Assistant to the Managing Director,1997,1997,INACTIVE,,
70,14,4,Bau- und Estrichunternehmen Udo Heinisch,Teilhabender Geschäftsführer,1994,1997,INACTIVE,,
71,14,5,Kreatives Haardesign,General Manager und Geschäftsinhaber,1992,1997,INACTIVE,,
72,14,6,Bundeswehr,Soldat,1986,1997,INACTIVE,,
73,14,7,"DIK, Deutsches Institut für Kapitalanlagen",Assistent to Managing Director,1984,1985,INACTIVE,,
74,14,8,Allianz,Versicherungskaufmann,1981,1984,INACTIVE,,
75,15,0,papperts GmbH,Verkäufer,,,UNKNOWN,,
76,16,0,Gladsaxe Kommune,Koordinerende sagsbehandler,2022-05,,ACTIVE,,
77,17,0,Aglukon Spezialdünger GmbH & Co. KG,Head of Supply Chain,2024-09,,ACTIVE,,
78,17,1,Aglukon Spezialdünger GmbH & Co. KG,Digitalisierungsmanager,2023-07,2024-09,INACTIVE,,
79,17,2,Aglukon Spezialdünger GmbH & Co. KG,Trainee Quality Management / Communication Management,2022-06,2023-06,INACTIVE,,
80,17,3,Universität zu Köln,Wissenschaftlicher Mitarbeiter mit akademischem Abschluss,2019-09,2022-05,INACTIVE,,
81,18,0,delta pronatura GmbH,Director of Finance (China),2024-08,,ACTIVE,,
82,18,1,Shanghai Volkswagen Powertrain Company Ltd.,Director Of Finance,2022-07,2024-08,INACTIVE,,
83,18,2,Volkswagen Group China,Head of Automotive Strategy & New Business - Group Finance,2020-12,2022-06,INACTIVE,,
84,18,3,Volkswagen Group China,Project Manager - Volkswagen Consulting,2016-01,2020-12,INACTIVE,,
85,18,4,Superdry Container Desiccant,Interim Sales Manager,2015-08,2015-12,INACTIVE,,
86,18,5,Struktur Management Partner GmbH,Senior Consultant,2014-04,2015-07,INACTIVE,,
87,18,6,Struktur Management Partner,Consultant,2012-09,2014-04,INACTIVE,,
88,18,7,Qingdao German Service Center,Project assistant intern,2012-01,2012-07,INACTIVE,,
89,19,0,Bettina Kern,Inhaber,1994-03,,ACTIVE,,
90,19,1,Bettina Kern,Inhaber,1994-01,2024-01,INACTIVE,,
91,19,2,Bettina Kern,TouchLife Massage Praktikerin,2015-07,2015-12,INACTIVE,,
92,19,3,Bettina Kern,"div. Coachingausbildungen (Barbara Sher, Angelika Gulder)",2007,2013,INACTIVE,,
93,19,4,Bettina Kern,Entspannungspädagogin AGL,2011,2012,INACTIVE,,
94,19,5,Frankfurter Volksbank Rhein/Main,Bankangestellte,2024-04,2024-09,INACTIVE,,
95,19,6,Appian Deutschland,Marketing Contractor,2017-01,2024-09,INACTIVE,,
96,19,7,dsb ebusiness GmbH,"Sachbearbeiterin Buchhaltung, Eventmanagement.",2015-03,2024-01,INACTIVE,,
97,19,8,Gies und Heimburger GmbH,Social Media-Koordinator,2020-11,2022-12,INACTIVE,,
98,19,9,Königsteiner Akademie Gesellschaft für persönliche Weiterbildung mbH,"Veranstaltungsassistenz, Trainerin",2016-06,2021-03,INACTIVE,,
99,19,10,Dell EMC,"Contractor, external service provider - Marketing, Events",2003-10,2016-12,INACTIVE,,
100,19,11,Bettina Kern - Coaching,Job bzw. Berufungs-Findungs-Coach,2009-03,2013-01,INACTIVE,,
101,19,12,Leadership Choices,"Assistenz, Veranstaltungsvorbereitung, freie Mitarbeiterin",2007,2010,INACTIVE,,
102,19,13,STADA,Assistentin im Bereich Gesundheitspolitik und GF Assistenz,2003-11,2005-01,INACTIVE,,
103,19,14,DIS AG,"verschiedene Positionen, z.B. Assistenz, Sekretariat, Sachbearbeitung",2001,2002,INACTIVE,,
104,19,15,IKEA Group,Buchhalterin,1999,2001,INACTIVE,,
105,19,16,Frankfurter Volksbank eG,"Bankkauffrau, verschiedene Positionen",1995,1999,INACTIVE,,
106,19,17,Königsteiner Volksbank eG,"Bankkauffrau, verschiedene Positionen",1990,1995,INACTIVE,,
107,20,0,Policen Direkt-Gruppe,Geschäftsführer CFO,2004-01,,ACTIVE,,
108,20,1,cash.life AG,Vorstand,2022-10,,ACTIVE,,
109,20,2,cash.life AG,Aufsichtsrat,2022-03,2022-10,INACTIVE,,
110,20,3,Thinksurance,Investor,2015,,ACTIVE,,
111,20,4,Covomo Versicherungsvergleich GmbH,Investor,2014,,ACTIVE,,
112,21,0,r2b energy consulting GmbH,Mitglied der Geschäftsleitung,2025-01,,ACTIVE,,
113,21,1,r2b energy consulting GmbH,Manager,2020-03,2025-01,INACTIVE,,
114,21,2,r2b energy consulting GmbH,Senior Berater,2018-02,2020-03,INACTIVE,,
115,21,3,SE Scherbeck Energy GmbH,Senior Consultant,2016-08,2018-01,INACTIVE,,
116,21,4,r2b energy consulting GmbH,Berater,2013-01,2016-07,INACTIVE,,
117,22,0,Owens Corning,"Global Marketing Director, Nonwovens",2024-11,,ACTIVE,,
118,22,1,Owens Corning,"Global Strategy Director, Insulation",2023,2024-11,INACTIVE,,
119,22,2,Owens Corning,"Global Product Management & Marketing Director, Glass Reinforcements",2020,2023,INACTIVE,,
120,22,3,Owens Corning,"Product Leader, Composites",2019,2020,INACTIVE,,
121,22,4,Owens Corning,Strategy Analyst and Senior R&D Engineer,2014,2019,INACTIVE,,
122,22,5,University of Southern California,Graduate Research & Teaching Assistant,2009,2014,INACTIVE,,
123,23,0,"Gesellschaft für Wirtschaft, Arbeit und Kultur",Social Researcher,2024-03,,ACTIVE,,
124,23,1,"Goethe-Universität Frankfurt, Institut für Allgemeinmedizin",Wissenschaftlicher Mitarbeiter Versorgungsforschung,2018-10,2022-10,INACTIVE,,
125,23,2,"Goethe-Universität Frankfurt, Institut für Allgemeinmedizin",Projektleitung: Prozessevaluation eines innovativen Versorgungsmodells,2020-03,2022-06,INACTIVE,,
126,23,3,"Goethe-Universität Frankfurt, Institut für Allgemeinmedizin",Freier Projektmitarbeiter Datenanalyse,2018-10,2019-02,INACTIVE,,
127,24,0,M+R Spedag Group,CFO,,,UNKNOWN,,
128,25,0,Personalberatung JG,Berater,2014-01,,ACTIVE,,
129,25,1,Arno Friedrichs Hartmetall GmbH & Co. KG,Director,2007-07,2013-12,INACTIVE,,
130,25,2,KFC Konrad Carbide GmbH / Konrad Friedrichs KG,Vice President Sales / Senior Manager Quality and R&D,2001-12,2007-06,INACTIVE,,
131,25,3,SCA Hygiene Products,"Production Manager, Product Manager, Project Manager",1993-01,2001-11,INACTIVE,,
132,26,0,ASTERION Germany GmbH,Center Management,2010-05,,ACTIVE,,
133,27,0,Selbstständig,Senior Project Manager,2022-04,,ACTIVE,,
134,27,1,SOFTCOM CONSULTING GmbH,"Management Consultant, Senior Project Manager",2018-02,2022-12,INACTIVE,,
135,27,2,deliverIT,Management Consultant,2016-11,2018-01,INACTIVE,,
136,27,3,metafinanz Informationssysteme GmbH,Senior Project Manager,2016-05,2016-10,INACTIVE,,
137,27,4,binary Professional IT Solution GmbH,Senior Consultant,2014-06,2016-03,INACTIVE,,
138,27,5,Bechtle GmbH Wien,Leitung Projekt und Servicemanagement,2012-08,2014-05,INACTIVE,,
139,27,6,Kapsch AG,Project Manager,2008-07,2012-06,INACTIVE,,
140,27,7,mii AG,Head of SES,2007-02,2008-05,INACTIVE,,
141,27,8,Interface IT Services,Geschäftsführer,2004-10,2007-03,INACTIVE,,
142,28,0,FCN Inc.,Federal Account Manager,2017-12,,ACTIVE,,
143,28,1,Burney Company,Portfolio Manager,2015-07,2017-12,INACTIVE,,
144,28,2,Burney Analytical Group,Portfolio Systems Manager,2014-07,2015-07,INACTIVE,,
145,28,3,Burney Company,Associate Portfolio Manager,2010-04,2014-07,INACTIVE,,
146,28,4,"Executive Lending Services, Inc.",Mortgage Loan Officer,2005-08,2011-07,INACTIVE,,
147,28,5,2 different companies,Federal IT Account Manager,1992-07,2005-08,INACTIVE,,
148,29,0,EGELHOF SAS,Responsable logistique,,,UNKNOWN,,
149,30,0,Musicdreams,Unternehmensinhaber,,,UNKNOWN,,
150,31,0,Studio Mondu,Brand Strategist,2020-01,,ACTIVE,,
151,31,1,Freelance Graphic Designer,Self Employed,2018-09,,ACTIVE,,
152,31,2,Factory Bucket Inc,Product Manager,2018-12,2019-09,INACTIVE,,
153,31,3,RedRhino Inc.,Art Director,2009-10,2018-09,INACTIVE,,
154,32,0,Novo Nordisk,Senior Category Manager,2024-04,,ACTIVE,,
155,32,1,Agilent Technologies,Global Category Manager,2021-07,2024-04,INACTIVE,,
156,32,2,Agilent Technologies,Commodity Manager,2015-09,2021-07,INACTIVE,,
157,32,3,Agilent Technologies,Procurement Assistant,2014-11,2015-08,INACTIVE,,
158,32,4,Ejerforeningen Islandshus,Board Member,2014-05,2015-05,INACTIVE,,
159,32,5,Halvandet ApS,Manager,2011-05,2014-09,INACTIVE,,
160,33,0,Selbstständig,General Manager,2001-06,,ACTIVE,,
161,33,1,"us-motor.bike, www.us-motor.bike",Diplom Ökonom,2014-01,2017-01,INACTIVE,,
162,33,2,us-motor.bike,Inhaber,2014,2017,INACTIVE,,
163,34,0,,Hiring Manager,,,UNKNOWN,,
164,35,0,Luxury Custom Yachts GmbH,Owner and Executive Director,2020-04,,ACTIVE,,
165,35,1,MHP – A Porsche Company,Senior Manager,2022-07,2023-07,INACTIVE,,
166,35,2,CONCEPT A.Ş.,Senior Consultant,2020-04,2022-04,INACTIVE,,
167,35,3,Daimler AG,Sabbatical,2018-01,2020-03,INACTIVE,,
168,35,4,Daimler AG,Manager COC Wiring Harness MB Trucks @ MB Türk,2018-01,2020-02,INACTIVE,,
169,35,5,Daimler AG,Project Manager Development Exterior Parts MB Cars,2014-06,2017-12,INACTIVE,,
170,35,6,Daimler AG,Manager Development Exterior Lighting Systems MB Cars,2008-06,2014-06,INACTIVE,,
171,35,7,Daimler AG,Manager Development Brake- and Chassis Control Systems MB Trucks,1998-05,2008-05,INACTIVE,,
172,35,8,Daimler AG,Ingenieur Mechatronik,1989-09,1998-05,INACTIVE,,
173,35,9,Daimler AG,Student an der Berufsakademie,1986-09,1989-09,INACTIVE,,
174,35,10,Mercedes-Benz Türk A.Ş.,Manager COC Wiring Harness Mercedes-Benz Trucks,2018-01,2020-02,INACTIVE,,
175,35,11,Private Family Business,Family Manager,2017-03,2017-09,INACTIVE,,
176,36,0,eye4improve,Founder & Managing Director,2017-08,,ACTIVE,,
177,36,1,Storm - House of Six Sigma,Senior Consultant,2014-11,2017-08,INACTIVE,,
178,36,2,West Pharmaceutical Services,Head of Technology & Projects,2009-08,2014-11,INACTIVE,,
179,36,3,Johnson Controls Denmark,Continuous Improvement Manager. Six Sigma Black Belt,2008-03,2009-08,INACTIVE,,
180,36,4,Johnson Controls Denmark,Six Sigma Black Belt,2006-11,2008-03,INACTIVE,,
181,36,5,Johnson Controls Denmark,Program Manager,2006-06,2007-12,INACTIVE,,
182,36,6,York refrigeration,Design Manager Compressor units,2002-05,2006-06,INACTIVE,,
183,36,7,York refrigeration,Project Engineer,2002-01,2002-05,INACTIVE,,
184,36,8,Bilwinco A/S,Service Engineer,1999-10,2001-12,INACTIVE,,
185,37,0,Orthocenter,Orthodontie assistent,2022-05,,ACTIVE,,
186,37,1,Orthocenter,Leerling orthodontie assistent,2022-05,,ACTIVE,,
187,37,2,Tandartspraktijk Hollandscheveld,senior tandarts assistent,2021-11,2022-05,INACTIVE,,
188,37,3,Tandartspraktijk H. van Huizen,Senior Tandarts assistent,2021-04,2021-11,INACTIVE,,
189,37,4,Tandartspraktijk Aldente,Senior Tandarts assistent,1994-08,2021-04,INACTIVE,,
190,38,0,Deloitte,Manager Risk Advisory,2023-02,,ACTIVE,,
191,39,0,IT-Services der Sozialversicherung GmbH,Systemadministrator Clientservices,2024-05,,ACTIVE,,
192,39,1,WKO Inhouse GmbH,Active Directory Specialist,2023-04,2024-05,INACTIVE,,
193,39,2,Hilfswerk Niederösterreich,IT-Techniker,2018-09,2023-04,INACTIVE,,
194,39,3,Rotheneder Gesm.B.H,Jr. Consultant PrePress,1999-10,2004-10,INACTIVE,,
195,40,0,Montgomery County,IT Program Manager – Information Security,2016-09,,ACTIVE,,
196,40,1,Dayton Leadership Academies,Technology Manager,2005-03,,ACTIVE,,
197,40,2,PC Connection,Refurbishment Technician,2002-01,2005-03,INACTIVE,,
198,40,3,Technology Support Coordinator,Sinclair College,1999-04,2004-05,INACTIVE,,
199,41,0,Sventronik.com,Pionier der Strömungsoptimierung und Wasserstofftechnologien für effiziente Energielösungen,2022-01,,ACTIVE,,
200,41,1,Deutsche Vermögensberatung,IT-Consultant,2020,2020,INACTIVE,,
201,41,2,Finanz Informatik GmbH & Co. KG,IT-Consultant,2019,2020,INACTIVE,,
202,41,3,SOKA-BAU,IT Consultant,2017,2018,INACTIVE,,
203,41,4,LBBW Landesbank Baden-Württemberg,IT Consultant,2016,2017,INACTIVE,,
204,41,5,Finanz Informatik GmbH & Co. KG,IT Consultant,2014,2016,INACTIVE,,
205,41,6,DWS Group,IT Consultant,2012,2014,INACTIVE,,
206,41,7,Sparda-Datenverarbeitung eG,IT Consultant,2010,2011,INACTIVE,,
207,41,8,SEB,IT Consultant,2010,2010,INACTIVE,,
208,41,9,HSBC Commercial Banking,IT Consultant,2009,2009,INACTIVE,,
209,41,10,ITS Wertpapiere,IT Consultant,2008,2008,INACTIVE,,
210,41,11,Landesbank Hessen Thüringen,IT Consultant,2006,2007,INACTIVE,,
211,41,12,TxB Transaktionsbank GmbH,IT Consultant,2002,2006,INACTIVE,,
212,41,13,Landesbausparkasse Hessen-Thüringen,IT Consultant,2001,2002,INACTIVE,,
213,41,14,Landesbank Hessen Thüringen,IT Consultant,1998,2001,INACTIVE,,
214,41,15,ZDF,IT Consultant,1997,1997,INACTIVE,,
215,41,16,SV SparkassenVersicherung,IT Consultant,1996,1997,INACTIVE,,
216,41,17,Landesbank Hessen Thüringen,IT Consultant,1992,1995,INACTIVE,,
217,42,0,Merck,Human Resources Director,,,UNKNOWN,,
218,42,1,Accenture,Manager,2003,2010,INACTIVE,,
219,43,0,eightbit experts GmbH,CEO,2024-01,,ACTIVE,,
220,43,1,eightbit experts GmbH,CEO,2022-08,2024-01,INACTIVE,,
221,43,2,eightbit experts GmbH,CEO and Shareholder,2008,2022-07,INACTIVE,,
222,43,3,Prüser & Müller GmbH,CEO and Shareholder,2016,,ACTIVE,,
223,43,4,neusta eastern europe,Founder and Shareholder,2018-07,2022-06,INACTIVE,,
224,43,5,neusta aerospace GmbH,Shareholder,2016,2021-04,INACTIVE,,
225,44,0,Lufthansa Group,Head of Payment IT Solutions,2022-01,,ACTIVE,,
226,44,1,Lufthansa Systems,Airline Consultant,2019-11,2021-12,INACTIVE,,
227,44,2,Miles & More GmbH / Lufthansa Group,Manager Product Development,2019-01,2019-10,INACTIVE,,
228,44,3,Miles & More GmbH / Lufthansa Group,Project Manager Airport & Airline Shopping,2015-08,2018-12,INACTIVE,,
229,44,4,Miles & More GmbH / Lufthansa Group,Manager Finance & Controlling,2013-01,2015-08,INACTIVE,,
230,44,5,GME Cargo Agents Express GmbH,Customer Service,2011-01,2012-05,INACTIVE,,
231,45,0,Banco de Portugal,Banking Prudential Supervision Analyst,2018-03,,ACTIVE,,
232,45,1,Banco Finantia,Credit Risk Associate Director,2017-01,2018-02,INACTIVE,,
233,45,2,Banco Finantia,Senior Credit Risk Analyst,2014-10,2016-12,INACTIVE,,
234,45,3,Vodafone,Senior Financial & Business Strategy Analyst,2012-10,2014-09,INACTIVE,,
235,45,4,PwC,Strategy and Operations Corporate Consultant,2012-04,2012-10,INACTIVE,,
236,45,5,PwC,Financial Services Associate Auditor,2010-09,2012-03,INACTIVE,,
237,46,0,Steinbeis Papier GmbH,Geschäftsführer,2014-08,,ACTIVE,,
238,47,0,eyebase DAM,CEO,2006,,ACTIVE,,
239,47,1,"Eyebase USA, Inc.",Product Manager,2019-01,,ACTIVE,,
240,47,2,Phoenix HIIT Fitness KG,Investor,2019-07,,ACTIVE,,
241,47,3,Phoenixlifestyle KG,Shareholder,2018-09,,ACTIVE,,
242,48,0,METRO AG,SVP People & Culture Management and Services; CEO METRO Campus Services GmbH,2022-10,,ACTIVE,,
243,48,1,METRO AG,SVP HR Services & CEO METRO Campus Services GmbH,2022-01,2022-09,INACTIVE,,
244,48,2,METRO AG,Global Director HR Operations & Compensation / Managing Director METRO Campus Services GmbH,2019-10,2021-12,INACTIVE,,
245,48,3,METRO AG,Global Director HR Campus,2017-04,2019-10,INACTIVE,,
246,48,4,METRO AG,Director Campus HR Operations,2015-08,2017-03,INACTIVE,,
247,48,5,METRO AG,Director HR METRO SYSTEMS GmbH,2013-01,2015-07,INACTIVE,,
248,48,6,METRO AG,Head of HR Management Project Foundation,2012-07,2012-12,INACTIVE,,
249,48,7,METRO AG,Head of HR International; Compensation & Benefits,2010-07,2012-09,INACTIVE,,
250,48,8,Metro Cash and Carry,Head of Staffing & Compensation International Management,2007-09,2010-06,INACTIVE,,
251,48,9,Hochtief,Manager HR International /Deputy Head of HR International,2005-09,2007-08,INACTIVE,,
252,48,10,TMD Friction,Manager International Assignments & Pensions,2004-10,2005-09,INACTIVE,,
253,48,11,PwC,"Senior Associate, Lawyer",2002-04,2004-09,INACTIVE,,
254,49,0,Fischer,kraftfahrer,2017-02,2019-04,INACTIVE,,
255,49,1,Fischer,kraftfahrer,2013-06,2013-06,INACTIVE,,
256,50,0,Daniel Software GmbH,Managing Director,1997,,ACTIVE,,
257,50,1,State Street Global Exchange,Senior Application Developer,2003-01,2019-09,INACTIVE,,
258,51,0,Building Inspectors SA Pty Ltd,Building Consultant,2009-07,,ACTIVE,,
259,51,1,SA Attorney General,Compliance,1985-07,2011-06,INACTIVE,,
260,51,2,Graf Bros.,Construction manager,1984-06,1985-07,INACTIVE,,
261,52,0,HOCHTIEF ViCon,Managing Director,2017-10,,ACTIVE,,
262,52,1,HOCHTIEF ViCon Qatar W.L.L.,Managing Director,2009-01,2021-08,INACTIVE,,
263,52,2,HOCHTIEF ViCon GmbH,International Operations Director,2014-02,2017-09,INACTIVE,,
264,53,0,AURA GmbH & Co. KG,Kaufmännischer Leiter,,,UNKNOWN,,
265,54,0,"SEC Co., Ltd",Senior Director,2000-03,,ACTIVE,,
266,55,0,gdp Global Drinks Partnership GmbH,Commercial Director On Trade,2012-06,,ACTIVE,,
267,55,1,gdp Global Drinks Partnership GmbH,Commercial Manager,2009-03,2012-06,INACTIVE,,
268,55,2,Heineken,Commercial Manager,2008-07,2009-03,INACTIVE,,
269,55,3,Scottish & Newcastle Germany,Commercial Manager,2004,2008,INACTIVE,,
270,56,0,SF Veranstaltungstechnik,CEO,2011-09,,ACTIVE,,
271,56,1,SF Veranstaltungstechnik,Professional Freelancer,2011-09,,ACTIVE,,
272,57,0,Detecon International,Senior Manager,2022-06,,ACTIVE,,
273,57,1,Detecon International,Managing Consultant,2013-07,2022-07,INACTIVE,,
274,57,2,Lodestone Management Consultants,Managing Consultant,2009-02,2013-06,INACTIVE,,
275,57,3,IBM,Managing Consultant,2002-10,2008-01,INACTIVE,,
276,57,4,PricewaterhouseCoopers,Principle Consultant,1998-10,2002-10,INACTIVE,,
277,57,5,Coopers & Lybrand Consulting,Consultant,1997-01,1998-09,INACTIVE,,
278,57,6,KBE,Vertrieb und Logistik,1995-01,1996-12,INACTIVE,,
279,57,7,Spedition Vrancken,Disponent und stellvertretender Niederlassungsleiter,1987-07,1988-06,INACTIVE,,
280,57,8,Eland-Rindt-Service,Disponent und stellvertretender Niederlassungsleiter,1986-07,1987-06,INACTIVE,,
281,57,9,Agisped GmbH,Ausbildung Speditionskaufmann und Disponent,1981-05,1986-06,INACTIVE,,
282,58,0,John Holland,Graduate Engineer,2013-04,,ACTIVE,,
283,58,1,nsru,site engineer,2014,2015,INACTIVE,,
284,58,2,nsru,site engineer,2014,2015,INACTIVE,,
285,58,3,Taylor Thomson Whitting,Undergraduate Structural Engineer,2011-12,2012-02,INACTIVE,,
286,59,0,Saakar Creations Pvt Ltd,Senior Architect,2020-05,,ACTIVE,,
287,59,1,Architect,Junior Architect,2014-09,2022-03,INACTIVE,,
288,59,2,Architect Harish Tripathi & Associates,Junior Architect,2019-07,2020-06,INACTIVE,,
289,59,3,EFFECTIVE ARCHITECTURE SOLUTIONS LIMITED,Architectural Intern,2019-02,2019-06,INACTIVE,,
290,59,4,Apanna Nirmala Architects Associates,Architectural Intern,2017-06,2017-12,INACTIVE,,
291,59,5,National Association of Students of Architecture (NASA India),Unit Secretary,2016-07,2017-05,INACTIVE,,
292,60,0,DHBW Stuttgart,Dozent DHBW Stuttgart,2019-02,,ACTIVE,,
293,60,1,Hofmeister,Kfm. Leiter/Prokurist,2015-04,,ACTIVE,,
294,60,2,Gerhard Rösch GmbH,Kfm. Leiter,2013-04,2015-04,INACTIVE,,
295,60,3,Bechtle Graphische Betriebe und Verlags- gesellschaft,Stellv. Kfm. Leiter/Leiter Controlling,2003-12,2013-04,INACTIVE,,
296,61,0,ROiOS,Mitbegründer und Geschäftsführer,2025-03,,ACTIVE,,
297,61,1,Self-employed,Systemischer Coach und Organisationsberater,2023-07,,ACTIVE,,
298,61,2,BBT-Gruppe,Sprecher der Geschäftsführung,2018-01,2023-06,INACTIVE,,
299,61,3,BBT-Gruppe,Geschäftsführer,2013-09,2023-06,INACTIVE,,
300,61,4,BBT-Gruppe,Referent des Vorstands,2012,2013,INACTIVE,,
301,61,5,Institut für Weltkirche und Mission,Gründungsdirektor des IWM,2009,2012,INACTIVE,,
